travel_id,lodging_nm,lodging_payment_seq,lodging_type_cd,rsvt_yn,chk_in_dt_min,chk_out_dt_min,payment_num,brno,store_nm,road_nm_addr,lotno_addr,road_nm_cd,lotno_cd,payment_dt,payment_mthd_se,payment_amt_won,payment_etc
h_h000038,더베스트제주성산,1,1,Y,,,1,,주식회사 타이드스퀘어 투어비스,서울 중구 남대문로 78,,3101001,1114012600,2023-06-02 10:36:00,1,22822,더 베스트 제주 성산호텔
h_h000038,샨티샨티 게스트하우스,1,7,Y,,,1,,에어비앤비,,,,,2023-06-02 10:55:00,1,32348,숙박비
h_h000039,준하우스,1,8,Y,,,1,,준민박,제주특별자치도 제주시 구좌읍 일주동로 3031,제주특별자치도 제주시 구좌읍 평대리 463-1,3349235,5011025633,2023-05-15 22:18:00,1,0,숙박비
h_h000042,스위트호텔 제주점,0,1,Y,,,4,,,제주특별자치도 서귀포시 중문관광로72번길 67,제주특별자치도 서귀포시 색달동 2812-10,,,,1,265080,
h_h000042,애월애휴양펜션,0,3,Y,,,4,,,제주특별자치도 제주시 애월읍 신엄1길 12,제주특별자치도 제주시 애월읍 신엄리 3075,,,,4,200000,
h_h000043,롯데호텔 제주,1,1,Y,,,4,,롯데호텔제주,제주특별자치도 서귀포시 중문관광로72번길 35,제주특별자치도 서귀포시 색달동 2812-4,4850763,5013011900,2023-05-18 16:06:00,1,792066,숙박비
h_h000043,봄그리고가을리조트,0,4,Y,,,4,,,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,제주특별자치도 서귀포시 성산읍 시흥리 208,,,,4,0,
h_h000047,글로스터호텔 제주,1,1,Y,,,4,,(주)티몬,,,,,2023-05-09 00:00:00,1,104500,(제주시)글로스터호텔제주
h_h000047,한원가옥,0,3,Y,,,4,,,두모리 1418-3,,,,,3,200000,
h_h000047,호텔퍼블리코,1,1,Y,,,4,,쿠팡(주),서울 강남구 테헤란로 501,,3122010,1168010500,2023-05-11 00:00:00,1,88900,퍼블리코 호텔/쇠소깍 요트카약패키지 디럭스 트윈룸
h_h000049,파르나스호텔 제주,0,1,Y,,,2,,,제주특별자치도 서귀포시 중문관광로72번길 100,제주특별자치도 서귀포시 색달동 3039-1,,,,1,620000,
h_h000051,플레이스캠프제주,0,1,Y,,,1,,,제주특별자치도 서귀포시 성산읍 동류암로 20,제주특별자치도 서귀포시 성산읍 고성리 297-1,,,,1,104850,
h_h000052,금호제주리조트,1,4,Y,,,6,,금호리조트(주)제주,제주특별자치도 서귀포시 남원읍 태위로 522-12,,3350268,5013025321,2023-05-23 00:00:00,1,570000,숙박비
h_h000055,숨게스트하우스 제주공항점,0,7,Y,,,1,,,제주특별자치도 제주시 서광로5길 2-2,제주특별자치도 제주시 용담1동 2829-1,,,,1,19800,
h_h000057,윈스카이호텔,1,1,Y,,,1,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-19 16:47:00,1,38760,호텔 윈 스카이
h_h000058,우도다올펜션,0,3,Y,,,4,,,제주특별자치도 제주시 우도면 우도해안길 288,제주특별자치도 제주시 우도면 연평리 2481,,,,1,89710,
h_h000058,제주신화월드 랜딩관,0,4,Y,,,4,,,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,,,,1,271082,
h_h000060,호텔 케니 서귀포,1,1,Y,,,1,,주식회사 트립비토즈,서울 강남구 테헤란로 415,,3122010,1168010500,2023-05-24 16:10:00,1,37800,호텔 케니 서귀포
h_h000062,모슬포항등대,0,5,N,,,1,,,,제주특별자치도 서귀포시 대정읍 하모리 694-1,,,,4,0,
h_h000065,라마다프라자 제주호텔,0,1,Y,,,2,,,제주특별자치도 제주시 탑동로 66,제주특별자치도 제주시 삼도2동 1254,,,,4,100000,
h_h000065,스타빌,1,5,Y,,,2,,나인브릿지,제주특별자치도 서귀포시 안덕면 광평로 34-156,제주특별자치도 서귀포시 안덕면 광평리 산 15,3350022,5013031029,2023-05-17 10:22:00,3,100000,
h_h000068,제주호텔더엠,1,1,Y,,,4,,제주 호텔 더엠(JEJU HOTEL THE M),제주특별자치도 서귀포시 태평로353번길 14,,4850953,5013010100,2023-05-27 15:00:00,1,34513,숙박비
h_h000069,자인빌리지펜션,1,3,Y,,,2,,주식회사 떠나요,서울 성동구 광나루로6길 54,서울 성동구 성수동2가 279-14,4109035,1120011500,2023-02-01 07:39:00,1,49000,17복층더블(자인)
h_h000069,코업시티호텔 하버뷰,1,1,Y,,,2,,아고다,,,,,2023-02-22 00:00:00,1,62266,Areumdaun Resort
h_h000069,코업시티호텔 하버뷰,2,1,Y,,,2,,아고다,,,,,2023-05-12 00:00:00,1,45214,CO-OP CITY HOHEL HARBORVIEW
h_h000070,신신호텔 천지연,0,1,Y,,,1,,,제주특별자치도 서귀포시 서문로 42-1,제주특별자치도 서귀포시 서귀동 325-1,,,,1,38800,
h_h000070,점보네게스트하우스,0,7,Y,,,1,,,제주특별자치도 제주시 용마서1길 36,제주특별자치도 제주시 용담삼동 517-4,,,,5,25000,
